 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
   118     0.862500000     2.508990008      0.000000000     0.000000000
   119     0.653199999     2.531605008      0.000000000     0.000000000
   120     0.443899999     2.556950008      0.000000000     0.000000000
   121     1.336800001     2.620800008      0.000000000     0.000000000
   122     1.118400001     2.670455008      0.000000000     0.000000000
   123     0.900000000     2.722840008      0.000000000     0.000000000
   124     0.681599999     2.745455008      0.000000000     0.000000000
   125     0.463199999     2.770800008      0.000000000     0.000000000
   126     1.392500001     2.843750009      0.000000000     0.000000000
   127     1.165000001     2.893405009      0.000000000     0.000000000
   128     0.937500000     2.945790009      0.000000000     0.000000000
   129     0.709999999     2.968405009      0.000000000     0.000000000
   130     0.482499999     2.993750009      0.000000000     0.000000000
   131     1.448200002     3.075800010      0.000000000     0.000000000
   132     1.211600001     3.125455010      0.000000000     0.000000000
   133     0.975000000     3.177840010      0.000000000     0.000000000
   134     0.738399999     3.200455010      0.000000000     0.000000000
   135     0.501799998     3.225800010      0.000000000     0.000000000
   136     1.503900002     3.316950011      0.000000000     0.000000000
   137     1.258200001     3.366605011      0.000000000     0.000000000
   138     1.012500000     3.418990011      0.000000000     0.000000000
   139     0.766799999     3.441605011      0.000000000     0.000000000
   140     0.521099998     3.466950011      0.000000000     0.000000000
   141     1.559600002     3.567200011      0.000000000     0.000000000
   142     1.304800001     3.616855011      0.000000000     0.000000000
   143     1.050000000     3.669240011      0.000000000     0.000000000
   144     0.795199999     3.691855011      0.000000000     0.000000000
   145     0.540399998     3.717200011      0.000000000     0.000000000
   146     1.615300002     3.826550012      0.000000000     0.000000000
   147     1.351400001     3.876205012      0.000000000     0.000000000
   148     1.087500000     3.928590012      0.000000000     0.000000000
   149     0.823599999     3.951205012      0.000000000     0.000000000
   150     0.559699998     3.976550012      0.000000000     0.000000000
   151     1.671000002     4.095000013      0.000000000     0.000000000
   152     1.398000001     4.144655013      0.000000000     0.000000000
   153     1.125000000     4.197040013      0.000000000     0.000000000
   154     0.851999999     4.219655013      0.000000000     0.000000000
   155     0.578999998     4.245000013      0.000000000     0.000000000
   156     1.726700002     4.372550014      0.000000000     0.000000000
   157     1.444600001     4.422205014      0.000000000     0.000000000
   158     1.162500000     4.474590014      0.000000000     0.000000000
   159     0.880399999     4.497205014      0.000000000     0.000000000
   160     0.598299998     4.522550014      0.000000000     0.000000000
   161     1.782400002     4.659200016      0.000000000     0.000000000
   162     1.491200001     4.708855015      0.000000000     0.000000000
   163     1.200000000     4.761240014      0.000000000     0.000000000
   164     0.908799999     4.783855015      0.000000000     0.000000000
   165     0.617599998     4.809200016      0.000000000     0.000000000
   166     1.838099995     4.954950021      0.000000000     0.000000000
   167     1.537800010     5.004605015      0.000000000     0.000000000
   168     1.237500000     5.056990005      0.000000000     0.000000000
   169     0.937199990     5.079605015      0.000000000     0.000000000
   170     0.636900005     5.104950021      0.000000000     0.000000000
   171     1.893799955     5.259799997      0.000000000     0.000000000
   172     1.584400045     5.309455002      0.000000000     0.000000000
   173     1.275000000     5.361840006      0.000000000     0.000000000
   174     0.965599955     5.384455002      0.000000000     0.000000000
   175     0.656200045     5.409799997      0.000000000     0.000000000
   176     1.949500026     5.573749550      0.000000000     0.000000000
   177     1.630999849     5.623404991      0.000000000     0.000000000
   178     1.312500000     5.675790456      0.000000000     0.000000000
   179     0.994000151     5.698404991      0.000000000     0.000000000
   180     0.675499974     5.723749550      0.000000000     0.000000000
   181     2.005202573     5.896798160      0.000000000     0.000000000
   182     1.677596772     5.946455322      0.000000000     0.000000000
   183     1.350000000     5.998843782      0.000000000     0.000000000
   184     1.022403228     6.021455322      0.000000000     0.000000000
   185     0.694797427     6.046798160      0.000000000     0.000000000
   186     2.060915773     6.228958797      0.000000000     0.000000000
   187     1.724185710     6.278609804      0.000000000     0.000000000
   188     1.387500000     6.330992528      0.000000000     0.000000000
   189     1.050814290     6.353609804      0.000000000     0.000000000
   190     0.714084227     6.378958797      0.000000000     0.000000000
   191     2.116582675     6.570360108      0.000000000     0.000000000
   192     1.770861905     6.619865147      0.000000000     0.000000000
   193     1.425000000     6.672078978      0.000000000     0.000000000
   194     1.079138095     6.694865147      0.000000000     0.000000000
   195     0.733417325     6.720360108      0.000000000     0.000000000
   196     2.171391510     6.921154628      0.000000000     0.000000000
   197     1.818526486     6.970076901      0.000000000     0.000000000
   198     1.462500000     7.021335134      0.000000000     0.000000000
   199     1.106473514     7.045076901      0.000000000     0.000000000
   200     0.753608490     7.071154628      0.000000000     0.000000000
   201     2.222769301     7.276458321      0.000000000     0.000000000
   202     1.868569679     7.328079791      0.000000000     0.000000000
   203     1.500000000     7.381686474      0.000000000     0.000000000
   204     1.131430321     7.403079791      0.000000000     0.000000000
   205     0.777230699     7.426458321      0.000000000     0.000000000
                                            ___________     ___________
                              Summation     0.000000000     0.000000000

Element                    Element strain                                   Element Stress
number      1-direction     2-direction     3-direction      1-direction     2-direction     3-direction
      1     0.020460000     0.019862000     0.000000000      0.000460000     0.000000000     0.000000000
      2     0.016820000     0.020954000     0.000000000     -0.003180000     0.000000000     0.000000000
      3     0.013180000     0.009046000     0.000000000      0.003180000     0.000000000     0.000000000
      4     0.009540000     0.010138000     0.000000000     -0.000460000     0.000000000     0.000000000
      5     0.020460000     0.019862000     0.000000000      0.000460000     0.000000000     0.000000000
      6     0.016820000     0.020954000     0.000000000     -0.003180000     0.000000000     0.000000000
      7     0.013180000     0.009046000     0.000000000      0.003180000     0.000000000     0.000000000
      8     0.009540000     0.010138000     0.000000000     -0.000460000     0.000000000     0.000000000
      9     0.020460000     0.019862000     0.000000000      0.000460000     0.000000000     0.000000000
     10     0.016820000     0.020954000     0.000000000     -0.003180000     0.000000000     0.000000000
     11     0.013180000     0.009046000     0.000000000      0.003180000     0.000000000     0.000000000
     12     0.009540000     0.010138000     0.000000000     -0.000460000     0.000000000     0.000000000
     13     0.020460000     0.019862000     0.000000000      0.000460000     0.000000000     0.000000000
     14     0.016820000     0.020954000     0.000000000     -0.003180000     0.000000000     0.000000000
     15     0.013180000     0.009046000     0.000000000      0.003180000     0.000000000     0.000000000
     16     0.009540000     0.010138000     0.000000000     -0.000460000     0.000000000     0.000000000
     17     0.020460000     0.019862000     0.000000000      0.000460000     0.000000000     0.000000000
     18     0.016820000     0.020954000     0.000000000     -0.003180000     0.000000000     0.000000000
     19     0.013180000     0.009046000     0.000000000      0.003180000     0.000000000     0.000000000
     20     0.009540000     0.010138000     0.000000000     -0.000460000     0.000000000     0.000000000
