 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000882484     0.001262110      0.000000000     0.000000000
     2     0.001008879     0.001261219      0.000000000     0.000000000
     3     0.000947003     0.001271002      0.000000000     0.000000000
     4     0.000946660     0.001268248      0.000000000     0.000000000
     5     0.000172204     0.000410774      0.000000000     0.000000000
     6     0.000507080     0.000873556      0.000000000     0.000000000
     7     0.000260570     0.000630963      0.000000000     0.000000000
     8     0.000793378     0.000622815      0.000000000     0.000000000
     9     0.000678827     0.000743187      0.000000000     0.000000000
    10     0.000555523     0.000215195      0.000000000     0.000000000
    11     0.000714896     0.000419401      0.000000000     0.000000000
    12     0.000353833     0.000337518      0.000000000     0.000000000
    13     0.000506660     0.000537245      0.000000000     0.000000000
    14     0.000798581     0.000557952      0.000000000     0.000000000
    15     0.000392096     0.000308914      0.000000000     0.000000000
    16     0.000584863     0.000371684      0.000000000     0.000000000
    17     0.000193202     0.000647139      0.000000000     0.000000000
    18     0.000316042     0.000468769      0.000000000     0.000000000
    19     0.000631940     0.000877822      0.000000000     0.000000000
    20     0.000416787     0.000815885      0.000000000     0.000000000
    21     0.000702539     0.000739203      0.000000000     0.000000000
    22     0.000508669     0.000604224      0.000000000     0.000000000
    23    -0.000253643     0.000000000      0.000000000     0.000000000
    24    -0.000635353     0.000000000      0.000000000     0.000000000
    25    -0.000451921     0.000000000      0.000000000     0.000000000
    26     0.000179937     0.000916579      0.000000000     0.000000000
    27    -0.000094943     0.000870444      0.000000000     0.000000000
    28    -0.000330158     0.000757822      0.000000000     0.000000000
    29    -0.000501028     0.000585410      0.000000000     0.000000000
    30    -0.000595358     0.000386295      0.000000000     0.000000000
    31    -0.000635284     0.000189278      0.000000000     0.000000000
    32    -0.000255503     0.000084196      0.000000000     0.000000000
    33    -0.000046692     0.000439529      0.000000000     0.000000000
    34    -0.000192438     0.000398011      0.000000000     0.000000000
    35    -0.000267243     0.000281245      0.000000000     0.000000000
    36    -0.000435846     0.000153307      0.000000000     0.000000000
    37    -0.000406042     0.000325874      0.000000000     0.000000000
    38    -0.000317743     0.000492273      0.000000000     0.000000000
    39    -0.000163649     0.000613436      0.000000000     0.000000000
    40    -0.000008010     0.000692212      0.000000000     0.000000000
    41     0.000153441     0.000757510      0.000000000     0.000000000
    42     0.000000000    -0.000478953      0.000000000     0.000000000
    43     0.000814958     0.000269976      0.000000000     0.000000000
    44     0.000787760     0.000024728      0.000000000     0.000000000
    45     0.000699826    -0.000194458      0.000000000     0.000000000
    46     0.000549089    -0.000356831      0.000000000     0.000000000
    47     0.000365814    -0.000446249      0.000000000     0.000000000
    48     0.000179801    -0.000482114      0.000000000     0.000000000
    49     0.000000000    -0.000099894      0.000000000     0.000000000
