 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
   104 -1876.748495692  4329.332998034      0.000000000     0.000000000
   105 -3080.529329893  2219.824958991      0.000000000     0.000000000
   106 -4472.726225767  2078.511691994      0.000000000     0.000000000
   107     0.000000000     0.000000000      0.000000000     0.000000000
   108  3945.438376351   906.344355525      0.000000000     0.000000000
   109 -3699.516952205  4244.677164834      0.000000000     0.000000000
   110 -3941.819965467  5467.900112654      0.000000000     0.000000000
   111 -3102.414180470  6139.091758828      0.000000000     0.000000000
   112 -5011.656805861  4200.081389326      0.000000000     0.000000000
   113  -640.531491731  2035.904399385      0.000000000     0.000000000
   114  2865.007181527  2843.407254698      0.000000000     0.000000000
   115 -4448.051388183  7720.189211505      0.000000000     0.000000000
   116 -5691.851510657  6222.616052758      0.000000000     0.000000000
   117 -1461.760399698  3837.229500464      0.000000000     0.000000000
   118  1556.538821449  4687.580147397      0.000000000     0.000000000
   119 -5722.310901518  9040.460240336      0.000000000     0.000000000
   120 -6428.365518688  7992.777514484      0.000000000     0.000000000
   121 -2399.215415617  5476.387276594      0.000000000     0.000000000
   122   132.541004119  6317.722368979      0.000000000     0.000000000
   123 -6762.249499251 10114.017469527      0.000000000     0.000000000
   124 -7133.711727925  9451.364087865      0.000000000     0.000000000
   125 -3389.820567131  6932.522040497      0.000000000     0.000000000
   126 -1336.610174213  7733.674667110      0.000000000     0.000000000
   127 -7488.398152038 10870.640746395      0.000000000     0.000000000
   128 -7660.658622020 10396.125741945      0.000000000     0.000000000
   129 -4370.752798250  8193.834987600      0.000000000     0.000000000
   130 -2781.639788936  8925.708085106      0.000000000     0.000000000
   131 -7932.177582225 11395.821491141      0.000000000     0.000000000
   132 -7991.996902388 11063.175733142      0.000000000     0.000000000
   133 -8188.238066490 11541.643832013      0.000000000     0.000000000
   134 -8173.527621989 11910.102537447      0.000000000     0.000000000
   135 -5278.000726131  9248.094453660      0.000000000     0.000000000
   136 -4131.750485183  9881.112953106      0.000000000     0.000000000
   137 -8131.752682191 11801.879005941      0.000000000     0.000000000
   138 -7788.817148563 11832.334356258      0.000000000     0.000000000
   139 -6143.901464429 10112.936320010      0.000000000     0.000000000
   140 -5307.265652548 10594.711250924      0.000000000     0.000000000
   141 -6811.242738805 10773.671387532      0.000000000     0.000000000
   142 -7323.927254924 11252.209987748      0.000000000     0.000000000
   143 -7737.493846939 11597.543004292      0.000000000     0.000000000
   144 -7364.376401861 11637.396571201      0.000000000     0.000000000
   145 -6174.623350982 11050.125949989      0.000000000     0.000000000
   146 -6847.011250884 11386.525038990      0.000000000     0.000000000
                                            ___________     ___________
                              Summation     0.000000000     0.000000000

Element                    Element strain                                   Element Stress
number      1-direction     2-direction     3-direction      1-direction     2-direction     3-direction
      1  -320.750653537  2024.485413207    74.964445861  -1267.281779467   536.745964183    28.832479177
      2  -181.850296878   428.529912215   328.739803784  -1638.604563074 -1169.081325311   126.438386071
      3  2565.705046576   599.178556334  2065.872207494   1468.072364939   -44.640319862   794.566233652
      4  -198.676871518   836.135837959  -934.682205411  -1243.829721988  -447.819945466  -359.493155927
      5  -398.224484754  -108.086681931  4125.429545606  -1352.413059935 -1129.230134687  1586.703671387
      6 -1144.180444533   421.518854796 -1072.021887986  -2406.374505529 -1201.990429123  -412.316110764
      7  -607.591965798  -299.915360829  3715.939232350  -2252.684024052 -2016.009712537  1429.207397058
      8  -879.234119931   580.288522052  3177.836100682  -1941.603587969  -818.893863366  1222.244654108
      9 -2119.895378732  1724.913251181   450.161824816  -2665.003500542   292.541599391   173.139163391
     10  -799.329666371   721.075526198   133.295581394  -1205.023662260   -35.481206437    51.267531305
     11 -1546.120068765   847.519535609   709.283663520  -1849.039879251    -7.778645117   272.801409046
     12 -3422.501887156   507.820144341   568.159360636  -4250.099206582 -1226.774566969   218.522831014
     13 -1097.904993747  1935.153186943  1074.415954697  -2097.406594309   235.715083145   413.236905653
     14 -2098.431194874  2285.724488628   382.680615210  -3128.083670120   244.343778727   147.184852004
     15 -2037.179960503  1281.676405437  3158.736998957  -2378.123654196   174.842781143  1214.898845753
     16 -2551.813523714  2030.141372637  1230.614365479  -3717.866857197  -193.286167696   473.313217492
     17  -696.134916771   797.331659580  -310.196145308  -1204.119176688   -55.298733341  -119.306209734
     18  2979.453458953 -3416.983040984  6460.997341265   1430.080117608 -3490.255651574  2484.998977410
     19  1053.988044301  2449.978348721  4166.812123137    592.173240009  1666.011935716  1602.620047360
     20   405.812037193  1703.701803453  -749.626417037   -102.689754664   895.686988612  -288.317852707
     21   681.399517242   662.810262731  -303.399738538   -141.154873240  -155.454299788  -116.692207130
     22   662.977033836   708.637418724  -357.828282939   -148.043466143  -112.920093153  -137.626262669
     23   660.415924222   683.486837997  -371.643308089   -160.520604621  -142.773747871  -142.939733881
     24   -37.209135651  -162.201692318 -3744.716538908   -722.598706893  -818.746827407 -1440.275591888
     25  1477.294125215   402.881811087  1753.775974249    277.558028507  -548.912982360   674.529220865
     26  3129.848713642 -1002.907076434  -992.125157770   1627.033655582 -1552.009259861  -381.586599142
     27  -370.091709604  1881.180630773 -4275.230415665  -1268.293287715   463.454666421 -1644.319390640
     28  -257.328384119   898.347139753 -1405.098516909  -1186.305094467  -297.323922258  -540.422506503
     29 -3394.930368484  2521.616629088   634.373050902  -4508.410463473    42.779534660   243.989634962
     30 -4133.421677911  2904.810290943  2607.842361000  -5213.412928877   200.611662549  1003.016292692
     31  -924.601112733  1688.440237518  3797.985298189  -2079.578560189   -69.546752304  1460.763576226
     32 -4976.578720234  2280.681356900 11861.718788751  -5461.018853939   121.488897702  4562.199534135
     33  1143.768305277 -2140.792150538    91.876778458   -177.297540788 -2703.882506799    35.337222484
     34   931.237993851   763.092994128  -257.784048194   -328.890311838  -458.232619318   -99.147710844
     35   513.275884278   884.166744154   436.747168580    147.140721665   432.441383108   167.979680223
