 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1  3910.731293460  5456.591658141      0.000000000     0.000000000
     2  4487.634408915  5620.494756926      0.000000000     0.000000000
     3  4205.340340650  5596.423028632      0.000000000     0.000000000
     4  4202.470165043  5569.893817154      0.000000000     0.000000000
     5 -4276.627225226  2036.613974775      0.000000000     0.000000000
     6  -174.398254635  6102.383931678      0.000000000     0.000000000
     7 -3194.146602328  3932.271701737      0.000000000     0.000000000
     8  1847.752550344  2674.744990948      0.000000000     0.000000000
     9  1201.613190268  4269.502375896      0.000000000     0.000000000
    10 -1065.974075291 -1170.886090655      0.000000000     0.000000000
    11   886.346696769   756.771917797      0.000000000     0.000000000
    12 -2778.136310872   704.388698275      0.000000000     0.000000000
    13  -906.722171956  2448.933984485      0.000000000     0.000000000
    14  5560.890056310   463.869891475      0.000000000     0.000000000
    15  1917.666148436 -2586.847759910      0.000000000     0.000000000
    16  3610.960306277 -1817.911252391      0.000000000     0.000000000
    17 -1164.862922170    71.403211536      0.000000000     0.000000000
    18   631.234491221 -1357.120751804      0.000000000     0.000000000
    19  2885.651192626  2897.271587148      0.000000000     0.000000000
    20   912.039614458  2138.549301446      0.000000000     0.000000000
    21  4038.308744958  1954.260841526      0.000000000     0.000000000
    22  2327.154606934   301.483704125      0.000000000     0.000000000
    23 -8054.197515099     0.000000000      0.000000000     0.000000000
    24 ***************     0.000000000      0.000000000     0.000000000
    25 -9864.356488708     0.000000000      0.000000000     0.000000000
    26 -3488.965060709  7038.008086040      0.000000000     0.000000000
    27 -6252.202687810  7004.730995925      0.000000000     0.000000000
    28 -8624.620044160  6248.830181930      0.000000000     0.000000000
    29 ***************  4830.842098600      0.000000000     0.000000000
    30 ***************  3140.251535087      0.000000000     0.000000000
    31 ***************  1514.515262319      0.000000000     0.000000000
    32 -8031.039640135   415.301699063      0.000000000     0.000000000
    33 -6385.840155494  2842.223668109      0.000000000     0.000000000
    34 -7694.862757906  2885.781227578      0.000000000     0.000000000
    35 -8292.734066547  2110.373892765      0.000000000     0.000000000
    36 -9698.741273327  1181.913435609      0.000000000     0.000000000
    37 -9508.259310858  2533.570150648      0.000000000     0.000000000
    38 -8759.688506252  3862.215832336      0.000000000     0.000000000
    39 -7262.127905936  4703.797299143      0.000000000     0.000000000
    40 -5677.472519398  5150.366284473      0.000000000     0.000000000
    41 -4012.056829440  5480.574919046      0.000000000     0.000000000
    42     0.000000000 -9579.677143543      0.000000000     0.000000000
    43  6154.474522048 -2413.375733295      0.000000000     0.000000000
    44  6285.806405936 -4816.393993025      0.000000000     0.000000000
    45  5751.090917986 -6969.752698456      0.000000000     0.000000000
    46  4527.622660051 -8524.958668591      0.000000000     0.000000000
    47  2978.079123137 -9316.806853927      0.000000000     0.000000000
    48  1443.611527722 -9607.956417956      0.000000000     0.000000000
    49     0.000000000 -6173.706780893      0.000000000     0.000000000
    50     0.000000000 -7959.329256217      0.000000000     0.000000000
    51   433.174457879 -6161.777542848      0.000000000     0.000000000
    52  2853.470009178 -4670.640909390      0.000000000     0.000000000
    53  2932.824399457 -5913.364551694      0.000000000     0.000000000
    54  2143.727814202 -6469.681614775      0.000000000     0.000000000
    55  4521.158294570 -3968.550867145      0.000000000     0.000000000
    56  1167.931552703 -7775.886750295      0.000000000     0.000000000
    57  4814.574218078 -2692.872912100      0.000000000     0.000000000
    58  2454.618301278 -7573.578498094      0.000000000     0.000000000
    59  3689.575254226 -6860.536712941      0.000000000     0.000000000
    60  4271.266929063 -5326.218488197      0.000000000     0.000000000
    61 -7711.846338945   338.720883594      0.000000000     0.000000000
